Date,Price,Open,High,Low,Vol.,Change %
27/12/2017,"18,674.40","18,559.60","18,865.70","18,406.50",1.51M,1.24%
26/12/2017,"18,444.80","18,215.20","18,444.80","17,985.60",1.27M,1.26%
25/12/2017,"18,215.20","18,521.30","18,597.80","18,138.60",720.01K,-0.21%
22/12/2017,"18,253.40","18,291.70","18,521.30","17,985.60",2.43M,-1.45%
21/12/2017,"18,521.30","18,750.90","18,980.50","18,521.30",1.65M,-1.22%
20/12/2017,"18,750.90","18,444.80","18,904.00","18,406.50",1.10M,1.66%
19/12/2017,"18,444.80","18,636.10","18,904.00","18,444.80",1.18M,-1.03%
18/12/2017,"18,636.10","18,597.80","18,750.90","18,521.30",1.29M,0.21%
15/12/2017,"18,597.80","18,521.30","18,712.60","18,253.40",808.26K,-0.61%
14/12/2017,"18,712.60","18,215.20","18,750.90","17,794.20",1.85M,2.30%
13/12/2017,"18,291.70","18,444.80","18,521.30","18,100.40",2.54M,-0.83%
12/12/2017,"18,444.80","18,368.20","18,674.40","17,105.40",3.29M,0.42%
11/12/2017,"18,368.20","18,291.70","18,980.50","18,291.70",1.56M,-4.00%
8/12/2017,"19,133.60","19,171.80","19,286.70","18,865.70",1.07M,0.00%
7/12/2017,"19,133.60","19,133.60","19,248.40","18,789.20",808.64K,0.60%
6/12/2017,"19,018.80","18,904.00","19,057.00","18,750.90",2.33M,-0.20%
5/12/2017,"19,057.00","19,669.30","19,669.30","19,057.00",3.06M,-2.35%
4/12/2017,"19,516.30","19,669.30","20,052.00","19,516.30",1.27M,0.00%
1/12/2017,"19,516.30","19,592.80","19,631.10","19,439.70",1.65M,-0.58%
30/11/2017,"19,631.10","19,898.90","20,128.50","19,516.30",1.94M,0.20%
29/11/2017,"19,592.80","19,057.00","19,592.80","19,057.00",2.07M,2.40%
28/11/2017,"19,133.60","19,286.70","19,439.70","18,789.20",2.18M,-0.79%
27/11/2017,"19,286.70","19,363.20","19,554.50","19,210.10",1.64M,-0.40%
24/11/2017,"19,363.20","19,363.20","19,554.50","19,133.60",2.22M,0.00%
23/11/2017,"19,363.20","19,898.90","20,281.60","19,363.20",3.33M,-1.56%
22/11/2017,"19,669.30","18,406.50","19,669.30","18,368.20",5.08M,6.86%
21/11/2017,"18,406.50","18,368.20","18,750.90","18,368.20",3.02M,0.21%
20/11/2017,"18,368.20","18,215.20","18,483.00","18,100.40",1.79M,-0.21%
17/11/2017,"18,406.50","18,521.30","18,597.80","17,985.60",3.17M,-0.41%
16/11/2017,"18,483.00","18,406.50","18,636.10","18,138.60",3.00M,-0.21%
15/11/2017,"18,521.30","18,674.40","18,674.40","18,368.20",1.44M,-0.41%
14/11/2017,"18,597.80","18,330.00","18,674.40","17,985.60",2.49M,1.46%
13/11/2017,"18,330.00","18,100.40","18,330.00","18,062.10",1.83M,1.48%
10/11/2017,"18,062.10","17,832.50","18,521.30","17,832.50",3.34M,0.43%
9/11/2017,"17,985.60","18,215.20","18,291.70","17,909.00",2.93M,-1.26%
8/11/2017,"18,215.20","17,488.10","18,215.20","17,373.30",3.98M,4.16%
7/11/2017,"17,488.10","17,373.30","17,641.20","17,296.80",3.02M,0.00%
6/11/2017,"17,488.10","17,143.70","17,488.10","17,028.90",2.83M,2.01%
3/11/2017,"17,143.70","16,684.50","17,143.70","16,454.90",2.52M,2.28%
2/11/2017,"16,761.00","17,143.70","17,258.50","16,454.90",2.82M,-2.23%
1/11/2017,"17,143.70","16,722.80","17,182.00","16,722.80",3.19M,2.52%
31/10/2017,"16,722.80","16,684.50","16,952.40","16,454.90",3.60M,0.00%
30/10/2017,"16,722.80","16,225.30","17,067.20","16,225.30",6.94M,3.07%
27/10/2017,"16,225.30","15,842.60","16,225.30","15,727.80",1.92M,2.42%
26/10/2017,"15,842.60","15,995.70","16,225.30","15,536.50",2.45M,-1.43%
25/10/2017,"16,072.20","15,842.60","16,301.80","15,842.60",1.79M,1.20%
24/10/2017,"15,880.90","15,804.30","15,995.70","15,766.10",1.25M,-0.72%
23/10/2017,"15,995.70","16,225.30","16,416.60","15,919.10",2.65M,-2.34%
20/10/2017,"16,378.30","16,148.70","16,416.60","16,148.70",3.52M,0.71%
19/10/2017,"16,263.50","16,225.30","16,340.10","15,919.10",2.79M,-0.70%
18/10/2017,"16,378.30","16,454.90","16,607.90","16,301.80",4.88M,-0.47%
17/10/2017,"16,454.90","15,613.00","16,454.90","15,613.00",7.36M,5.65%
16/10/2017,"15,574.70","15,459.90","15,651.30","15,459.90",2.17M,0.74%
13/10/2017,"15,459.90","15,383.40","15,498.20","15,345.10",905.98K,0.25%
12/10/2017,"15,421.70","15,536.50","15,651.30","15,421.70",1.56M,-0.74%
11/10/2017,"15,536.50","15,383.40","15,651.30","15,345.10",2.58M,1.50%
10/10/2017,"15,306.90","15,306.90","15,459.90","15,268.60",988.69K,0.00%
9/10/2017,"15,306.90","15,459.90","15,536.50","15,306.90",2.43M,0.25%
6/10/2017,"15,268.60","15,192.10","15,459.90","15,153.80",3.16M,0.25%
5/10/2017,"15,230.30","15,459.90","15,498.20","15,192.10",1.58M,-0.75%
4/10/2017,"15,345.10","15,230.30","15,459.90","15,192.10",2.26M,1.01%
3/10/2017,"15,192.10","15,153.80","15,459.90","15,077.30",3.45M,0.76%
2/10/2017,"15,077.30","15,000.70","15,306.90","15,000.70",1.66M,0.51%
29/09/2017,"15,000.70","15,039.00","15,192.10","15,000.70",2.57M,-0.25%
28/09/2017,"15,039.00","15,459.90","15,613.00","15,039.00",3.30M,-2.72%
27/09/2017,"15,459.90","15,613.00","15,689.50","15,459.90",1.60M,-0.98%
